YEAR;EQ_PRIMARY;INTENSITY;COUNTRY;LATITUDE;LONGITUDE;DEATHS
1039;6.8;0;TURKEY;38.4;27.3;0
1040;0;11;TUNISIA;35.7;10;0
1042;0;0;IRAN;38;46.2;40000
1042;7.6;9;IRAN;38.1;46.3;50000
1045;0;9;TURKEY;39.7;39.5;0
1046;5.5;8;TURKEY;40.5;43.5;0
1048;0;0;UK;52;        ;0
1052;0;0;IRAN;30.6;50.3;0
1052;0;0;IRAN;36;58.8;0
1057;6.8;9;CHINA;39.7;116.3;25000
1058;0;0;IRAQ;34.3;44.7;0
1063;0;8;LEBANON;34.3;35.5;0
1063;0;8;TURKEY;40.4;28.9;0
1064;0;0;TURKEY;40.7;29.7;0
1065;0;0;IRAN;35;58;0
1065;0;10;ITALY;38.1;15.1;975
1066;0;0;IRAN;34;58;0
1067;6.8;9;CHINA;23.6;116.5;0
1068;0;9;ISRAEL;29.5;34.95;0
1068;6;8;CHINA;38.5;116.1;0
1070;0;0;EGYPT;30;31.1;0
1072;0;8;YEMEN;14.2;43.3;50
1076;0;8;SYRIA;35;38;0
1082;0;10;TURKEY;40.5;28.5;0
1085;0;0;IRAN;31;49;0
1085;0;0;TURKEY;39.9;41.1;0
1086;0;8;IRAQ;34;44;0
1086;0;0;ITALY;37;15.3;1000
1088;7;0;JAPAN;40.5;143;0
1088;5.3;0;GEORGIA;41.4;43.2;0
1089;0;8;SYRIA;34.3;38.2;0
1091;0;9;TURKEY;36.1;36.1;0
1096;8.4;0;JAPAN;34;137.5;400
1099;8.4;0;JAPAN;33;135.5;0
1101;6.5;10;IRAN;36;59;60000
1102;6.1;8;AFGHANISTAN;35;62.1;0
1102;0;0;CHINA;37.5;112.6;0
1106;0;8;TURKEY;36.2;36.1;0
1109;0;11;TURKEY;36.2;36.1;0
1111;0;9;TURKEY;38.5;43.4;0
1114;0;0;TURKEY;36.1;36.1;0
1114;0;0;TURKEY;37.5;38.5;0
1114;0;10;ITALY;42.42;12.1;0
1115;0;0;IRAN;26.4;55.5;0
1115;0;0;TURKEY;36.1;36.1;0
1115;0;10;TURKEY;36.8;39;0
1117;0;10;ITALY;44.8;11.3;0
1117;0;11;ITALY;45.5;11;0
1119;6.5;0;IRAN;36.2;50;0
1125;7;9;CHINA;36.1;103.7;0
1125;0;10;ITALY;41.1;14.8;0
1130;0;7;IRAQ;33.2;44.2;0
1130;0;0;IRAQ;36.2;43.1;0
1137;0;9;IRAQ;36.3;43.1;0
1137;0;0;ITALY;37.3;15.1;15000
1139;0;11;AZERBAIJAN;40.3;46.3;230000
1143;6;8;CHINA;38.5;106.3;10000
1149;0;0;IRAQ;33.2;44.4;0
1151;6.2;9;SYRIA;32.6;36.7;0
1151;0;0;PORTUGAL;38.7;-9.1;1000
1153;0;10;GREECE;39.8;20.1;0
1155;0;0;SYRIA;34.5;36.5;2000
1155;0;0;ITALY;45.8;8.1;0
1156;0;0;SYRIA;36.2;37.2;2000
1157;0;0;SYRIA;35.1;36.3;8000
1158;0;0;SYRIA;38.4;38.35;20000
1160;6.1;0;ISRAEL;32;35.5;0
1164;0;10;ICELAND;64.3;-20;19
1169;0;10;SYRIA;36.2;37.2;80000
1169;0;11;ITALY;37.3;15.03;16000
1171;0;0;LEBANON;34.4;35.8;0
1172;0;0;ITALY;38;15;0
1175;0;0;IRAN;35.3;51.2;0
1175;7.1;10;TURKMENISTAN;37.5;65.5;0
1176;0;0;IRAN;36.3;50;0
1179;0;0;TURKEY;36.1;36.1;0
1180;0;10;ITALY;41.1;15.1;0
1182;6.7;10;SYRIA;32.6;36.7;0
1182;0;10;ICELAND;64;-21;11
1183;0;0;SYRIA;34.5;36.5;20000
1184;0;10;ITALY;39.3;16.2;0
1201;0;8;SLOVENIA;46.4;15.3;0
1202;0;0;CHINA;27.1;118.4;0
1202;7.6;11;SYRIA;33.5;36;30000
1208;6.5;0;IRAN;36.3;57.6;0
1208;6.1;9;TURKMENISTAN;42;60;2000
1209;6.3;9;CHINA;36;111.8;3000
1209;7.6;9;IRAN;36;58.8;0
1211;0;0;EGYPT;30.5;31.3;0
1219;6.5;9;CHINA;36;106.2;10000
1222;0;0;CYPRUS;34.5;33;0
1222;0;10;ITALY;45.55;10.22;12000
1223;0;10;ITALY;41.6;15.9;0
1227;5.5;7;CHINA;38.5;106.3;0
1227;0;11;FRANCE;43.6;5.3;5000
1231;6.9;8;TURKEY;41;28.6;0
1231;0;10;ITALY;41.5;13.8;0
1233;5.6;0;ITALY;45.3;12.2;0
1237;0;0;IRAN;34.2;58.4;0
1237;0;10;ALBANIA;41.2;19.3;0
1237;0;10;ALBANIA;41.3;19.5;0
1241;7;0;JAPAN;35.2;139.4;0
1248;0;0;ITALY;41;13;9000
1255;0;0;NEPAL;27.7;85.3;0
1257;7;0;JAPAN;35.2;139.5;0
1257;7.5;0;JAPAN;39;144;0
1259;0;10;ITALY;38;12.5;0
1267;5.8;9;IRAN;36;58.8;0
1268;0;9;TURKEY;39.75;39.5;15000
1272;0;0;IRAN;38;46.2;250
1273;0;10;ITALY;40.6;15.8;0
1273;6.5;9;ALBANIA;41.3;19.7;0
1275;6.7;0;GEORGIA;42.1;44.2;0
1276;0;0;MOROCCO;35.1;-6.1;0
1277;5.1;0;ITALY;45.3;11;0
1279;0;11;ITALY;44.2;12;0
1280;0;0;IRAN;36.1;58.5;0
1280;0;10;CROATIA;44.1;15.2;0
1280;0;10;CROATIA;44.1;15.2;0
1281;5.8;9;IRAN;36.1;58.8;0
1283;6.3;9;GEORGIA;41.7;43.2;0
1284;0;10;SYRIA;33.3;36.2;0
1286;0;0;FRANCE;47.4;2.5;0
1289;0;0;CHINA;40;116.5;10000
1289;0;7;FRANCE;48.6;7.8;0
1290;6.8;9;CHINA;41.5;119.3;100000
1291;0;0;IRAN;29.4;52.3;0
1291;6.5;8;CHINA;36.1;111.5;150
1293;0;0;ISRAEL;32;34.9;0
